"clade_name","clade_taxid","TS8S","TS8","TS7S","TS7","TS5S","TS5","TS55S","TS55","TS54S","TS54","TS53S","TS53","TS52S","TS52","TS51S","TS51","TS50S","TS50","TS4S","TS4","TS42S","TS42","TS41S","TS41","TS40S","TS40","TS3S","TS3","TS38S","TS38","TS35S","TS35","TS32S","TS32","TS31S","TS31","TS30S","TS30","TS29S","TS29","TS28S","TS28","TS27S","TS27","TS26S","TS26","TS24S","TS24","TS22S","TS22","TS20S","TS20","TS18S","TS18","TS17S","TS17","TS16S","TS16","TS14S","TS14","TS13S","TS13","TS12S","TS12","TS11S","TS11"
"s__Firmicutes_bacterium_CAG_110","2|1239|||||1263000",14469,0,0,0,0,0,75,0,0,7136,0,0,0,0,7945,37490,0,0,0,0,0,0,21221,5238,0,0,0,4030,6926,0,0,0,0,20187,0,0,0,27887,0,0,0,0,494,4162,80227,16475,22262,456,0,0,9549,7645,0,0,0,0,0,0,0,1990,7785,0,0,0,0,0
"s__Firmicutes_bacterium_CAG_145","2|1239|||||1263005",0,0,0,0,0,0,0,0,722,0,0,0,0,0,0,0,1864,0,0,0,0,13340,0,111,7011,0,0,1374,0,0,10090,0,0,1427,0,0,0,0,1746,0,5350,0,0,0,0,0,627,0,0,0,8527,2222,0,3522,0,0,407,0,3830,0,0,0,0,6005,0,0
"s__Firmicutes_bacterium_CAG_238","2|1239|||||1263011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Firmicutes_bacterium_CAG_424","2|1239|||||1263022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76876,0,0
"s__Firmicutes_bacterium_CAG_646","2|1239|||||1262995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54559,0,0
"s__Firmicutes_bacterium_CAG_83","2|1239|||||1262992",3323,0,0,403,404,8406,2897,0,127,886,2390,1905,120,1228,1412,0,1921,0,0,0,18864,0,5476,4613,18008,0,28673,2800,2150,2651,0,0,2207,1383,6021,2759,2809,1711,0,3283,4737,1001,0,0,31,10148,4694,3071,11379,9591,2621,6715,0,51436,526,65,473,1142,35285,15340,10527,4817,21599,0,0,6117
"s__Firmicutes_bacterium_CAG_94","2|1239|||||1262989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2469,0,0,0,0,5404,0,0,0,0,0,0,0,394,0,0,0,1206,0,0,0,0,0,0,0
"s__Firmicutes_bacterium_CAG_95","2|1239|||||1262988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,2182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Acidaminococcus_intestini","2|1239|909932|1843488|909930|904|187327",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18356
"s__Phascolarctobacterium_faecium","2|1239|909932|1843488|909930|33024|33025",0,0,1736,493,0,0,15213,8831,2195,1260,13603,0,0,0,0,0,0,0,0,0,0,0,1634,1003,244,0,0,3956,0,0,0,0,1035,2240,0,0,1415,3966,45,0,0,23608,0,0,0,0,0,0,0,0,0,0,0,0,1733,17186,0,0,0,0,0,0,0,0,0,0
"s__Phascolarctobacterium_succinatutens","2|1239|909932|1843488|909930|33024|626940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17501,0,0,0,0,0,0
"s__Megamonas_funiformis","2|1239|909932|909929|1843491|158846|437897",0,0,0,0,0,0,3275,0,0,0,3529,0,0,0,2056,2335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Megamonas_funiformis_CAG_377","2|1239|909932|909929|1843491|158846|1263086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Megamonas_hypermegale","2|1239|909932|909929|1843491|158846|158847",0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Dialister_invisus","2|1239|909932|1843489|31977|39948|218538",12495,7898,0,0,14603,20690,24192,0,1122,6298,11123,0,4742,1260,4943,11412,3025,1563,0,1087,12858,11236,3672,2176,6673,21859,0,0,0,198,0,22670,0,0,1204,1134,0,3468,14711,12259,20733,0,281,0,10718,6903,1750,1444,0,9026,14415,4213,1877,962,258,0,291,21551,1685,0,43510,2774,2657,355,8429,6224
"s__Megasphaera_sp_DISK_18","2|1239|909932|1843489|31977|906|1776081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3156
"s__Veillonella_atypica","2|1239|909932|1843489|31977|29465|39777",0,0,0,0,0,0,1206,0,0,0,1163,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Veillonella_dispar","2|1239|909932|1843489|31977|29465|39778",0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Veillonella_parvula","2|1239|909932|1843489|31977|29465|29466",0,0,0,0,0,0,2292,0,0,0,2568,0,0,0,0,0,0,0,0,2906,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,8131,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Parvimonas_micra","2|1239|1737404|1737405|1570339|543311|33033",0,0,0,0,0,0,0,0,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
