"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"113","s__Clostridium_sp_CAG_58","Status","TS",-2.49276895306497,13.8093740149973,0.857320387683198,"StatusTS",0.935876665572905,66,40
"114","s__Firmicutes_bacterium_CAG_145","Status","TS",1.81386454518969,10.2727054944204,0.860402740929929,"StatusTS",0.935876665572905,66,17
"115","s__Ruthenibacterium_lactatiformans","Status","TS",13.1576474402622,79.5651640586742,0.869174455453065,"StatusTS",0.937196804140697,66,61
"116","s__Lachnospira_pectinoschiza","Status","TS",-2.37601506719046,16.6647524806603,0.88707196090017,"StatusTS",0.948249337513975,66,27
"117","s__Clostridium_symbiosum","Status","TS",0.996893432911463,8.54684299980359,0.907511541725589,"StatusTS",0.953656196389602,66,17
"118","s__Escherichia_coli","Status","TS",3.52486203080302,30.1725195702353,0.907365681473979,"StatusTS",0.953656196389602,66,21
"119","s__Parabacteroides_merdae","Status","TS",-7.31015273435965,79.5336218628115,0.927054467211578,"StatusTS",0.96268983455087,66,42
"120","s__Eubacterium_sp_CAG_180","Status","TS",2.43595676559951,29.6700500677434,0.934822203003075,"StatusTS",0.96268983455087,66,14
"121","s__Coprococcus_eutactus","Status","TS",-12.8112952783723,167.85276610957,0.939398951456897,"StatusTS",0.96268983455087,66,43
"122","s__Odoribacter_splanchnicus","Status","TS",-2.25228013081216,39.5501555872875,0.954764486133746,"StatusTS",0.97041636295561,66,38
"123","s__Alistipes_putredinis","Status","TS",-6.67375292269323,192.500961449342,0.972451843629006,"StatusTS",0.976952252703559,66,60
"124","s__Haemophilus_parainfluenzae","Status","TS",-0.0153443259495684,0.529055415972327,0.976952252703559,"StatusTS",0.976952252703559,66,7
